case_index,feature,shap_value,abs_shap,feature_value,expected_value
7,f2,0.012489475842753575,0.012489475842753575,0.45173895006780884,0.508065863524093
7,f3,-0.012489475842753565,0.012489475842753565,-0.49855611709178804,0.508065863524093
7,f1634,0.01211738869715742,0.01211738869715742,,0.508065863524093
7,f1635,-0.012117388697157382,0.012117388697157382,,0.508065863524093
7,f1038,0.011754183011289873,0.011754183011289873,,0.508065863524093
7,f1039,-0.011754183011289842,0.011754183011289842,,0.508065863524093
8,f1626,0.019787606988499067,0.019787606988499067,,0.508065863524093
8,f1627,-0.019787606988499056,0.019787606988499056,,0.508065863524093
8,f8,0.018257854873299943,0.018257854873299943,-0.11607271869254768,0.508065863524093
8,f9,-0.018257854873299915,0.018257854873299915,0.00726460418585811,0.508065863524093
8,f1086,0.016419898651005398,0.016419898651005398,,0.508065863524093
8,f1087,-0.016419898651005387,0.016419898651005387,,0.508065863524093
8,f12,0.01635605283753262,0.01635605283753262,-1.0455367919373646,0.508065863524093
8,f13,-0.016356052837532588,0.016356052837532588,0.0,0.508065863524093
8,f7,0.014385289807173308,0.014385289807173308,0.2410133881099021,0.508065863524093
8,f6,-0.014385289807173277,0.014385289807173277,-0.6235834935519966,0.508065863524093
9,f13,0.017309694345348754,0.017309694345348754,0.0,0.508065863524093
9,f12,-0.017309694345348712,0.017309694345348712,0.8320263956401698,0.508065863524093
9,f15,0.015243566669616035,0.015243566669616035,0.0,0.508065863524093
9,f14,-0.015243566669615969,0.015243566669615969,0.0,0.508065863524093
9,f1036,0.014483479146215726,0.014483479146215726,,0.508065863524093
9,f1037,-0.014483479146215701,0.014483479146215701,,0.508065863524093
9,f1038,0.010961656393303695,0.010961656393303695,,0.508065863524093
9,f1039,-0.010961656393303666,0.010961656393303666,,0.508065863524093
9,f1632,0.010364589850449331,0.010364589850449331,,0.508065863524093
9,f1633,-0.010364589850449302,0.010364589850449302,,0.508065863524093
10,f15,0.034450015806912586,0.034450015806912586,0.0,0.508065863524093
10,f14,-0.034450015806912496,0.034450015806912496,0.0,0.508065863524093
10,f7,0.020048600738159197,0.020048600738159197,0.4724970565571676,0.508065863524093
10,f6,-0.020048600738159162,0.020048600738159162,2.156304436501219,0.508065863524093
10,f13,0.018353327054736336,0.018353327054736336,0.0,0.508065863524093
10,f12,-0.0183533270547363,0.0183533270547363,-0.13212767365640188,0.508065863524093
10,f5,0.017686288449903234,0.017686288449903234,6.270070514284333,0.508065863524093
10,f4,-0.017686288449903196,0.017686288449903196,-0.15805958510090373,0.508065863524093
10,f1075,0.013435229427271975,0.013435229427271975,,0.508065863524093
10,f1074,-0.013435229427271968,0.013435229427271968,,0.508065863524093
11,f15,0.03669375866417308,0.03669375866417308,0.0,0.508065863524093
11,f14,-0.036693758664173,0.036693758664173,0.0,0.508065863524093
11,f1036,0.014985762365594917,0.014985762365594917,,0.508065863524093
11,f1037,-0.01498576236559489,0.01498576236559489,,0.508065863524093
11,f1038,0.012422540606875377,0.012422540606875377,,0.508065863524093
